osm_id,code,fclass,name,type,center,area
206498113,1500,building,MA1,residential,"(103.6333211864865, 103.6333211864865)",107.8671875
206498453,1500,building,M22,residential,"(103.63469317692307, 103.63469317692307)",15.8701171875
206498485,1500,building,M23,residential,"(103.63429419999999, 103.63429419999999)",16.6083984375
206498767,1500,building,M18,residential,"(103.63509094000001, 103.63509094000001)",6.853515625
206498895,1500,building,M17,residential,"(103.6353243111111, 103.6353243111111)",22.484375
206500333,1500,building,M16,residential,"(103.63556302222223, 103.63556302222223)",21.6376953125
206511980,1500,building,M15,residential,"(103.63582216, 103.63582216)",4.7275390625
206513219,1500,building,M09,residential,"(103.63603423076923, 103.63603423076923)",8.9296875
206513451,1500,building,M08,residential,"(103.6363507923077, 103.6363507923077)",9.3095703125
206513843,1500,building,M10,residential,"(103.63633075384617, 103.63633075384617)",9.015625
206513933,1500,building,M11,residential,"(103.63601357692306, 103.63601357692306)",8.533203125
206515139,1500,building,M07,residential,"(103.63637930769231, 103.63637930769231)",16.0234375
206515270,1500,building,M06,residential,"(103.63641242307692, 103.63641242307692)",14.61328125
206515384,1500,building,M05,residential,"(103.63634209230771, 103.63634209230771)",15.220703125
206515729,1500,building,M03,residential,"(103.6360595272727, 103.6360595272727)",6.0625
206515868,1500,building,M02,residential,"(103.63588407777777, 103.63588407777777)",5.296875
206516284,1500,building,M20,residential,"(103.63583930000001, 103.63583930000001)",15.05859375
206516397,1500,building,M19,residential,"(103.63582587692306, 103.63582587692306)",15.4287109375
206516445,1500,building,M21,residential,"(103.63533073846153, 103.63533073846153)",15.232421875
206516595,1500,building,M25,residential,"(103.63481725555555, 103.63481725555555)",19.7451171875
206516843,1500,building,M27,residential,"(103.63439448888887, 103.63439448888887)",21.7021484375
206516886,1500,building,M24,residential,"(103.63467034, 103.63467034)",6.021484375
206516906,1500,building,M26,residential,"(103.63433612000001, 103.63433612000001)",6.0029296875
206517068,1500,building,M42,residential,"(103.63458165384615, 103.63458165384615)",15.6982421875
206517089,1500,building,M43,residential,"(103.63422518461537, 103.63422518461537)",14.9853515625
206524537,1500,building,M37,residential,"(103.63394743846153, 103.63394743846153)",9.9736328125
206527763,1500,building,M39,residential,"(103.63393287692308, 103.63393287692308)",10.37890625
206527884,1500,building,M40,residential,"(103.63380226153846, 103.63380226153846)",10.5302734375
206528002,1500,building,M41,residential,"(103.63360248461537, 103.63360248461537)",11.0322265625
206535239,1500,building,M35,residential,"(103.6334135111111, 103.6334135111111)",5.0244140625
206535262,1500,building,M36,residential,"(103.63328656666667, 103.63328656666667)",6.283203125
206538825,1500,building,Kolej 10,residential,"(103.64951587407413, 103.64951587407413)",161.2236328125
