id,name,type,area,center_lng,center_lat
2799,,bungalow,433.38898075640844,100.2995357,5.46303623
2800,,apartments,1026.8855937951992,100.29809202083334,5.463503683333333
2801,,apartments,811.6452567445109,100.29806897499999,5.4640958
2802,,apartments,774.8589536758011,100.2986166,5.4634858
2803,,bungalow,222.85444687357386,100.4978743625,5.3292005875
2804,,bungalow,239.47692115453938,100.4976722,5.3290795
2805,,bungalow,239.52248848664175,100.49750395555556,5.328981044444443
2806,,bungalow,239.38328849379482,100.4973365,5.328879422222222
2807,,bungalow,239.54341913037595,100.49717062222221,5.328779399999999
2808,,bungalow,239.51551057740488,100.49700237777779,5.328681711111111
2809,,bungalow,239.47711522052927,100.4968357,5.328581699999999
2810,,bungalow,271.7790401315257,100.49502838333332,5.329463783333333
2811,,bungalow,271.74460430141716,100.49472563333335,5.329356783333333
2812,,bungalow,271.61536907387284,100.49521113333333,5.3294668
2813,,bungalow,271.6153688230314,100.49545443333334,5.3294673999999995
2814,,bungalow,271.53967682917823,100.49569153333333,5.329456283333334
2815,,bungalow,271.655303910429,100.49591966666667,5.329420733333333
2816,,bungalow,271.6553144422779,100.49613816666668,5.329396933333333
2817,,bungalow,271.7234343232504,100.49635666666666,5.329370716666666
2818,,bungalow,271.65533831536607,100.49657356666665,5.329342933333334
2819,,bungalow,271.6472720377695,100.49681023333333,5.329307466666667
2820,,bungalow,271.64531733414947,100.49448303333332,5.329139666666666
2821,,bungalow,272.7279499779829,100.49442625,5.328886266666667
2822,,bungalow,272.08669641310803,100.49447366666668,5.328680483333334
2823,,bungalow,271.72849284868676,100.49696834999997,5.3283955
2824,,bungalow,271.7328890627634,100.49713531666667,5.3284987
2825,,bungalow,271.7316096896424,100.49730695,5.328601666666667
2826,,bungalow,271.58985885270437,100.49747006666666,5.32869985
2827,,bungalow,271.72146774029164,100.49763696666668,5.328796166666667
2828,,bungalow,271.72272032782973,100.49780008333333,5.3288934
2829,,bungalow,271.6482193652293,100.49796073333333,5.328986633333334
2830,,bungalow,271.7285641941731,100.49512433333332,5.3285126499999995
2831,,bungalow,271.7285217345824,100.49494203333332,5.32860865
2832,,bungalow,271.5435335432543,100.49477796666667,5.32869315
2833,,bungalow,271.715897035207,100.49530809999999,5.328418883333333
2834,,bungalow,236.19299582844013,100.49553272499999,5.32854975
2835,,bungalow,236.1079476778092,100.49534942499999,5.328643575000001
2836,,bungalow,236.25467606750115,100.49516830000002,5.328741775
2837,,bungalow,236.24618791118624,100.4949833875,5.3288362125
2838,,bungalow,233.20417117493037,100.49477323750001,5.3289439624999995
2839,,bungalow,6663.182637963778,100.45557597499999,5.34770095
2840,,bungalow,2947.6831100774166,100.45563415,5.34723775
2841,,bungalow,1753.3195469583611,100.45459305,5.3470417
2842,,bungalow,1175.6821188831107,100.45422845000002,5.3471853
2843,,apartments,600.1086419734738,100.44295624000002,5.363965439999999
2844,,apartments,600.3561454448301,100.44296924,5.364398199999999
2845,,apartments,623.0311498686867,100.44297007999998,5.36427172
2846,,bungalow,166.34260035025102,100.4436847,5.35536505
2847,,bungalow,274.91525343352413,100.442159075,5.354582925000001
2848,,bungalow,558.7950083143716,100.48188386250001,5.322826537499999
2849,,bungalow,262.59640031522144,100.44080943333331,5.3479339999999995
2850,,apartments,5392.913402506913,100.48994161666667,5.321684583333333
2851,,bungalow,651.6978047130124,100.4547338,5.3479084
2852,,apartments,1365.2707083875957,100.43531357500001,5.249942900000001
2853,,apartments,1003.2500926653071,100.507028,5.477384925
2854,,apartments,1631.7423359002833,100.49898635,5.5310567
2855,,apartments,1631.0195576339938,100.49899015,5.530850375
2856,,apartments,1075.3418197849537,100.4988125,5.530643325000001
2857,,apartments,1133.3216861182568,100.2449593,5.28572955
2858,,apartments,1692.7841774512376,100.448009875,5.353996724999999
2859,,apartments,2105.016162903473,100.30773764999999,5.448867012500001
